client_number,ebury_country,client_type,created_date
356553,Australia,Corporate,2015-11-03 20:25:13.345112 UTC
349757,Australia,Corporate,2016-01-10 20:25:13.345112 UTC
384462,Australia,Corporate,2015-01-28 20:25:13.345112 UTC
381687,Australia,Corporate,2015-02-25 20:25:13.345112 UTC
497750,Australia,Corporate,2011-12-22 20:25:13.345112 UTC
391686,Australia,Corporate,2014-11-17 20:25:13.345112 UTC
369952,Australia,Corporate,2015-06-22 20:25:13.345112 UTC
424436,Australia,Corporate,2013-12-25 20:25:13.345112 UTC
349047,Australia,Corporate,2016-01-18 20:25:13.345112 UTC
305591,Australia,Corporate,2017-03-27 20:25:13.345112 UTC
354992,Australia,Corporate,2015-11-19 20:25:13.345112 UTC
390793,Australia,Corporate,2014-11-26 20:25:13.345112 UTC
401824,Australia,Corporate,2014-08-08 20:25:13.345112 UTC
361145,Australia,Corporate,2015-09-19 20:25:13.345112 UTC
371037,Australia,Corporate,2015-06-12 20:25:13.345112 UTC
371409,Australia,Corporate,2015-06-08 20:25:13.345112 UTC
300362,Belgium,Corporate,2017-05-18 20:25:13.345112 UTC
323801,Belgium,Corporate,2016-09-26 20:25:13.345112 UTC
213416,Belgium,Corporate,2019-10-05 20:25:13.345112 UTC
56259,Belgium,Corporate,2024-01-23 20:25:13.345112 UTC
78220,Belgium,Corporate,2023-06-18 20:25:13.345112 UTC
380827,Belgium,Corporate,2015-03-06 20:25:13.345112 UTC
211418,Belgium,Corporate,2019-10-25 20:25:13.345112 UTC
272064,Belgium,Corporate,2018-02-25 20:25:13.345112 UTC
214656,Belgium,Corporate,2019-09-22 20:25:13.345112 UTC
162753,Belgium,Corporate,2021-02-22 20:25:13.345112 UTC
224274,Belgium,Corporate,2019-06-18 20:25:13.345112 UTC
182869,Belgium,Corporate,2020-08-05 20:25:13.345112 UTC
253952,Belgium,Corporate,2018-08-25 20:25:13.345112 UTC
98716,Belgium,Corporate,2022-11-25 20:25:13.345112 UTC
195586,Belgium,Corporate,2020-03-31 20:25:13.345112 UTC
106431,Belgium,Corporate,2022-09-09 20:25:13.345112 UTC
289120,Belgium,Corporate,2017-09-08 20:25:13.345112 UTC
434681,Belgium,Corporate,2013-09-13 20:25:13.345112 UTC
159068,Belgium,Corporate,2021-03-31 20:25:13.345112 UTC
121370,Belgium,Corporate,2022-04-12 20:25:13.345112 UTC
398630,Belgium,Corporate,2014-09-09 20:25:13.345112 UTC
269676,Belgium,Corporate,2018-03-21 20:25:13.345112 UTC
471928,Belgium,Corporate,2012-09-06 20:25:13.345112 UTC
276095,Belgium,Corporate,2018-01-16 20:25:13.345112 UTC
118790,Belgium,Corporate,2022-05-08 20:25:13.345112 UTC
199882,Belgium,Corporate,2020-02-17 20:25:13.345112 UTC
200508,Belgium,Corporate,2020-02-11 20:25:13.345112 UTC
450237,Belgium,Corporate,2013-04-11 20:25:13.345112 UTC
163481,Belgium,Corporate,2021-02-15 20:25:13.345112 UTC
246370,Belgium,Corporate,2018-11-09 20:25:13.345112 UTC
430780,Belgium,Corporate,2013-10-22 20:25:13.345112 UTC
189896,Belgium,Corporate,2020-05-27 20:25:13.345112 UTC
440332,Belgium,Corporate,2013-07-19 20:25:13.345112 UTC
364048,Belgium,Corporate,2015-08-21 20:25:13.345112 UTC
174826,Belgium,Corporate,2020-10-25 20:25:13.345112 UTC
230723,Belgium,Corporate,2019-04-15 20:25:13.345112 UTC
440330,Belgium,Corporate,2013-07-19 20:25:13.345112 UTC
237860,Belgium,Corporate,2019-02-02 20:25:13.345112 UTC
381774,Belgium,Corporate,2015-02-24 20:25:13.345112 UTC
473153,Belgium,Corporate,2012-08-24 20:25:13.345112 UTC
357796,Belgium,Corporate,2015-10-22 20:25:13.345112 UTC
189707,Belgium,Corporate,2020-05-29 20:25:13.345112 UTC
402785,Belgium,Corporate,2014-07-29 20:25:13.345112 UTC
142837,Belgium,Corporate,2021-09-10 20:25:13.345112 UTC
184219,Belgium,Corporate,2020-07-23 20:25:13.345112 UTC
108138,Belgium,Corporate,2022-08-23 20:25:13.345112 UTC
444839,Bulgaria,Corporate,2013-06-04 20:25:13.345112 UTC
465812,Canada,Corporate,2012-11-06 20:25:13.345112 UTC
457319,Canada,Corporate,2013-01-30 20:25:13.345112 UTC
464881,Canada,Corporate,2012-11-15 20:25:13.345112 UTC
313116,Canada,Corporate,2017-01-11 20:25:13.345112 UTC
428166,Canada,Corporate,2013-11-17 20:25:13.345112 UTC
286692,Canada,Corporate,2017-10-02 20:25:13.345112 UTC
381677,Canada,Corporate,2015-02-25 20:25:13.345112 UTC
361678,Canada,Corporate,2015-09-13 20:25:13.345112 UTC
468452,Canada,Corporate,2012-10-10 20:25:13.345112 UTC
381679,Canada,Corporate,2015-02-25 20:25:13.345112 UTC
367400,Canada,Corporate,2015-07-18 20:25:13.345112 UTC
280054,Canada,Corporate,2017-12-07 20:25:13.345112 UTC
329789,Canada,Corporate,2016-07-28 20:25:13.345112 UTC
287342,Chile,Corporate,2017-11-15 20:25:13.345112 UTC
405185,Chile,Corporate,2014-08-24 20:25:13.345112 UTC
328166,Chile,Corporate,2016-10-02 20:25:13.345112 UTC
211418,Chile,Corporate,2019-12-14 20:25:13.345112 UTC
320358,Czech Republic,Corporate,2016-10-30 20:25:13.345112 UTC
341695,Czech Republic,Corporate,2016-03-31 20:25:13.345112 UTC
435961,Czech Republic,Corporate,2013-08-31 20:25:13.345112 UTC
393650,Czech Republic,Corporate,2014-10-28 20:25:13.345112 UTC
359656,Czech Republic,Corporate,2015-10-03 20:25:13.345112 UTC
341756,Czech Republic,Corporate,2016-03-30 20:25:13.345112 UTC
363931,Czech Republic,Corporate,2015-08-22 20:25:13.345112 UTC
410407,Czech Republic,Corporate,2014-05-14 20:25:13.345112 UTC
317862,Czech Republic,Corporate,2016-11-24 20:25:13.345112 UTC
341472,Czech Republic,Corporate,2016-04-02 20:25:13.345112 UTC
320874,Czech Republic,Corporate,2016-10-25 20:25:13.345112 UTC
418601,Czech Republic,Corporate,2014-02-21 20:25:13.345112 UTC
356616,Czech Republic,Corporate,2015-11-03 20:25:13.345112 UTC
287342,France,Corporate,2017-09-26 20:25:13.345112 UTC
418449,France,Corporate,2014-02-23 20:25:13.345112 UTC
158024,France,Corporate,2021-04-11 20:25:13.345112 UTC
323657,France,Corporate,2016-09-27 20:25:13.345112 UTC
465198,France,Corporate,2012-11-12 20:25:13.345112 UTC
431635,France,Corporate,2013-10-14 20:25:13.345112 UTC
362681,France,Corporate,2015-09-03 20:25:13.345112 UTC
231098,France,Corporate,2019-04-11 20:25:13.345112 UTC
291427,France,Corporate,2017-08-16 20:25:13.345112 UTC
275596,France,Corporate,2018-01-21 20:25:13.345112 UTC
229513,France,Corporate,2019-04-27 20:25:13.345112 UTC
363044,France,Corporate,2015-08-31 20:25:13.345112 UTC
362882,France,Corporate,2015-09-01 20:25:13.345112 UTC
359832,France,Corporate,2015-10-02 20:25:13.345112 UTC
201587,France,Corporate,2020-01-31 20:25:13.345112 UTC
367649,France,Corporate,2015-07-16 20:25:13.345112 UTC
360358,France,Corporate,2015-09-26 20:25:13.345112 UTC
189037,France,Corporate,2020-06-05 20:25:13.345112 UTC
245557,France,Corporate,2018-11-17 20:25:13.345112 UTC
289609,France,Corporate,2017-09-03 20:25:13.345112 UTC
240091,France,Corporate,2019-01-11 20:25:13.345112 UTC
396120,France,Corporate,2014-10-04 20:25:13.345112 UTC
234760,France,Corporate,2019-03-05 20:25:13.345112 UTC
314724,France,Corporate,2016-12-26 20:25:13.345112 UTC
322832,France,Corporate,2016-10-06 20:25:13.345112 UTC
318591,France,Corporate,2016-11-17 20:25:13.345112 UTC
268580,France,Corporate,2018-04-01 20:25:13.345112 UTC
205969,France,Corporate,2019-12-18 20:25:13.345112 UTC
463512,France,Corporate,2012-11-29 20:25:13.345112 UTC
383985,France,Corporate,2015-02-02 20:25:13.345112 UTC
370904,France,Corporate,2015-06-13 20:25:13.345112 UTC
409466,France,Corporate,2014-05-23 20:25:13.345112 UTC
372127,France,Corporate,2015-06-01 20:25:13.345112 UTC
330287,France,Corporate,2016-07-23 20:25:13.345112 UTC
179682,France,Corporate,2020-09-06 20:25:13.345112 UTC
250184,France,Corporate,2018-10-02 20:25:13.345112 UTC
281691,France,Corporate,2017-11-21 20:25:13.345112 UTC
149734,France,Corporate,2021-07-03 20:25:13.345112 UTC
385322,France,Corporate,2015-01-20 20:25:13.345112 UTC
353555,France,Corporate,2015-12-03 20:25:13.345112 UTC
295027,France,Corporate,2017-07-11 20:25:13.345112 UTC
150872,France,Corporate,2021-06-21 20:25:13.345112 UTC
385910,France,Corporate,2015-01-14 20:25:13.345112 UTC
275189,France,Corporate,2018-01-25 20:25:13.345112 UTC
100441,France,Corporate,2022-11-08 20:25:13.345112 UTC
260109,France,Corporate,2018-06-25 20:25:13.345112 UTC
118795,France,Corporate,2022-05-08 20:25:13.345112 UTC
320062,France,Corporate,2016-11-02 20:25:13.345112 UTC
346576,France,Corporate,2016-02-11 20:25:13.345112 UTC
330660,France,Corporate,2016-07-19 20:25:13.345112 UTC
334235,France,Corporate,2016-06-14 20:25:13.345112 UTC
338602,France,Corporate,2016-05-01 20:25:13.345112 UTC
364045,France,Corporate,2015-08-21 20:25:13.345112 UTC
366955,France,Corporate,2015-07-22 20:25:13.345112 UTC
230481,France,Corporate,2019-04-17 20:25:13.345112 UTC
323123,France,Corporate,2016-10-03 20:25:13.345112 UTC
269932,France,Corporate,2018-03-19 20:25:13.345112 UTC
289783,France,Corporate,2017-09-01 20:25:13.345112 UTC
408337,France,Corporate,2014-06-04 20:25:13.345112 UTC
301174,France,Corporate,2017-05-10 20:25:13.345112 UTC
377812,France,Corporate,2015-04-05 20:25:13.345112 UTC
276237,France,Corporate,2018-01-15 20:25:13.345112 UTC
283466,France,Corporate,2017-11-03 20:25:13.345112 UTC
167714,France,Corporate,2021-01-04 20:25:13.345112 UTC
152599,France,Corporate,2021-06-04 20:25:13.345112 UTC
193012,France,Corporate,2020-04-26 20:25:13.345112 UTC
255664,France,Corporate,2018-08-08 20:25:13.345112 UTC
353925,Germany,Corporate,2015-11-30 20:25:13.345112 UTC
371822,Germany,Corporate,2015-06-04 20:25:13.345112 UTC
299783,Germany,Corporate,2017-05-24 20:25:13.345112 UTC
427298,Germany,Corporate,2013-11-26 20:25:13.345112 UTC
324380,Germany,Corporate,2016-09-20 20:25:13.345112 UTC
358932,Germany,Corporate,2015-10-11 20:25:13.345112 UTC
242208,Germany,Corporate,2018-12-21 20:25:13.345112 UTC
87513,Germany,Corporate,2023-03-17 20:25:13.345112 UTC
339995,Germany,Corporate,2016-04-17 20:25:13.345112 UTC
396822,Germany,Corporate,2014-09-27 20:25:13.345112 UTC
453397,Germany,Corporate,2013-03-10 20:25:13.345112 UTC
439667,Germany,Corporate,2013-07-25 20:25:13.345112 UTC
359819,Germany,Corporate,2015-10-02 20:25:13.345112 UTC
441875,Germany,Corporate,2013-07-03 20:25:13.345112 UTC
311702,Germany,Corporate,2017-01-25 20:25:13.345112 UTC
464142,Germany,Corporate,2012-11-23 20:25:13.345112 UTC
428933,Germany,Corporate,2013-11-10 20:25:13.345112 UTC
151694,Germany,Corporate,2021-06-13 20:25:13.345112 UTC
128713,Germany,Corporate,2022-01-29 20:25:13.345112 UTC
136945,Germany,Corporate,2021-11-08 20:25:13.345112 UTC
340236,Germany,Corporate,2016-04-15 20:25:13.345112 UTC
360688,Germany,Corporate,2015-09-23 20:25:13.345112 UTC
385047,Germany,Corporate,2015-01-23 20:25:13.345112 UTC
458879,Germany,Corporate,2013-01-14 20:25:13.345112 UTC
320099,Germany,Corporate,2016-11-02 20:25:13.345112 UTC
308639,Germany,Corporate,2017-02-25 20:25:13.345112 UTC
324933,Germany,Corporate,2016-09-15 20:25:13.345112 UTC
342487,Germany,Corporate,2016-03-23 20:25:13.345112 UTC
365586,Germany,Corporate,2015-08-05 20:25:13.345112 UTC
346796,Germany,Corporate,2016-02-09 20:25:13.345112 UTC
343333,Germany,Corporate,2016-03-15 20:25:13.345112 UTC
339913,Germany,Corporate,2016-04-18 20:25:13.345112 UTC
306235,Germany,Corporate,2017-03-21 20:25:13.345112 UTC
271158,Germany,Corporate,2018-03-06 20:25:13.345112 UTC
207744,Germany,Corporate,2019-12-01 20:25:13.345112 UTC
323017,Germany,Corporate,2016-10-04 20:25:13.345112 UTC
440291,Germany,Corporate,2013-07-19 20:25:13.345112 UTC
349111,Germany,Corporate,2016-01-17 20:25:13.345112 UTC
286118,Germany,Corporate,2017-10-08 20:25:13.345112 UTC
426192,Germany,Corporate,2013-12-07 20:25:13.345112 UTC
298973,Germany,Corporate,2017-06-01 20:25:13.345112 UTC
355620,Germany,Corporate,2015-11-13 20:25:13.345112 UTC
304850,Germany,Corporate,2017-04-03 20:25:13.345112 UTC
328166,Germany,Corporate,2016-08-13 20:25:13.345112 UTC
372878,Germany,Corporate,2015-05-24 20:25:13.345112 UTC
351620,Germany,Corporate,2015-12-23 20:25:13.345112 UTC
194290,Germany,Corporate,2020-04-13 20:25:13.345112 UTC
321118,Germany,Corporate,2016-10-23 20:25:13.345112 UTC
317727,Germany,Corporate,2016-11-26 20:25:13.345112 UTC
288632,Germany,Corporate,2017-09-13 20:25:13.345112 UTC
405893,Germany,Corporate,2014-06-28 20:25:13.345112 UTC
284075,Germany,Corporate,2017-10-28 20:25:13.345112 UTC
320047,Germany,Corporate,2016-11-03 20:25:13.345112 UTC
285287,Germany,Corporate,2017-10-16 20:25:13.345112 UTC
355411,Germany,Corporate,2015-11-15 20:25:13.345112 UTC
371772,Germany,Corporate,2015-06-04 20:25:13.345112 UTC
336700,Germany,Corporate,2016-05-20 20:25:13.345112 UTC
417667,Germany,Corporate,2014-03-02 20:25:13.345112 UTC
346555,Germany,Corporate,2016-02-11 20:25:13.345112 UTC
375468,Germany,Corporate,2015-04-28 20:25:13.345112 UTC
450710,Germany,Corporate,2013-04-06 20:25:13.345112 UTC
320775,Germany,Corporate,2016-10-26 20:25:13.345112 UTC
241117,Greece,Corporate,2019-01-01 20:25:13.345112 UTC
373279,Greece,Corporate,2015-05-20 20:25:13.345112 UTC
418802,Greece,Corporate,2014-02-19 20:25:13.345112 UTC
331046,Greece,Corporate,2016-07-16 20:25:13.345112 UTC
296899,Greece,Corporate,2017-06-22 20:25:13.345112 UTC
470931,Greece,Corporate,2012-09-16 20:25:13.345112 UTC
374016,Greece,Corporate,2015-05-13 20:25:13.345112 UTC
388234,Greece,Corporate,2014-12-22 20:25:13.345112 UTC
345087,Greece,Corporate,2016-02-26 20:25:13.345112 UTC
205302,Greece,Corporate,2019-12-25 20:25:13.345112 UTC
419372,Greece,Corporate,2014-02-13 20:25:13.345112 UTC
420097,Greece,Corporate,2014-02-06 20:25:13.345112 UTC
176996,Greece,Corporate,2020-10-03 20:25:13.345112 UTC
196331,Greece,Corporate,2020-03-24 20:25:13.345112 UTC
229622,Greece,Corporate,2019-04-26 20:25:13.345112 UTC
380825,Greece,Corporate,2015-03-06 20:25:13.345112 UTC
100862,Greece,Corporate,2022-11-03 20:25:13.345112 UTC
227936,Greece,Corporate,2019-05-13 20:25:13.345112 UTC
235361,Greece,Corporate,2019-02-27 20:25:13.345112 UTC
322241,Greece,Corporate,2016-10-12 20:25:13.345112 UTC
289770,Greece,Corporate,2017-09-01 20:25:13.345112 UTC
240239,Greece,Corporate,2019-01-10 20:25:13.345112 UTC
274096,Greece,Corporate,2018-02-05 20:25:13.345112 UTC
73593,Greece,Corporate,2023-08-03 20:25:13.345112 UTC
322821,Greece,Corporate,2016-10-06 20:25:13.345112 UTC
278952,Greece,Corporate,2017-12-18 20:25:13.345112 UTC
363495,Greece,Corporate,2015-08-26 20:25:13.345112 UTC
334376,Greece,Corporate,2016-06-12 20:25:13.345112 UTC
399275,Greece,Corporate,2014-09-02 20:25:13.345112 UTC
325159,Greece,Corporate,2016-09-12 20:25:13.345112 UTC
461195,Greece,Corporate,2012-12-22 20:25:13.345112 UTC
335344,Greece,Corporate,2016-06-03 20:25:13.345112 UTC
431444,HK,Corporate,2013-10-16 20:25:13.345112 UTC
450488,HK,Corporate,2013-04-08 20:25:13.345112 UTC
358099,HK,Corporate,2015-10-19 20:25:13.345112 UTC
455527,HK,Corporate,2013-02-17 20:25:13.345112 UTC
448645,HK,Corporate,2013-04-27 20:25:13.345112 UTC
452836,HK,Corporate,2013-03-16 20:25:13.345112 UTC
445148,HK,Corporate,2013-06-01 20:25:13.345112 UTC
